id,user_id,lesson_date,instructor_id,lesson_level,duration_hours,lesson_price
f1820428-7e71-4ac9-b7df-8bd8ee7aa448,691bc231-8fe8-4e4e-81c2-a9fba399705d,2023-07-01,30ce5b61-251a-4224-b50d-6dbcf04eef9a,Intermediate,1,40
2740e8b0-fcc6-491d-9834-85c4ff628c55,c7941699-d6b1-4f51-8b4e-9054d329b2be,2023-07-01,b4248eab-4924-4318-a75a-4b4f70ca4c4f,Beginner,1,30
68a24254-56e0-4ca0-829a-64d8a3e82906,1baab112-0a5f-4696-a2d7-5f8d676a8c9a,2023-07-02,3eb097f5-cc06-4fb7-a942-8c1d5f8c95fb,Intermediate,2,80
f863ce52-e88d-4884-864b-22a4d6f31e8c,e535c0a7-4feb-4001-ab0d-75767280f4e1,2023-07-02,2af04c83-a9fd-4d66-ae63-dd5aa61963ca,Advanced,2,100
6d86021c-c7a0-43af-b302-4b0ff46f9de0,8f9fb277-7d0a-404a-8525-ff3011c8afe3,2023-07-02,6e833cca-8f08-41cd-bf32-41009c390509,Intermediate,1,40
5459117c-3406-4897-97af-858e22f707ba,67e7ce3b-b8c6-4a90-93c0-c7208734bb67,2023-07-02,803217e7-e1b0-4ca3-b691-bc9ba1f22858,Advanced,2,100
e72029ae-8558-4604-9302-c220d2cc60ad,80116023-c127-4a3b-812e-21dcefcec342,2023-07-02,7a17da55-9806-4ac8-9c96-b517d46a01da,Beginner,2,60
03083760-d7d5-4f76-8c27-f4372e33a868,13e9500f-07cf-435f-8a23-7cdb3d3f4ffa,2023-07-02,60e98da3-70c4-4fd4-9d81-5e3be0f3de94,Advanced,2,100
7893d404-5cb3-438a-a5cf-0aae267e669f,92fbc9a1-8f79-4605-b66d-766840a8f391,2023-07-02,8b0b7489-2db2-4309-87c9-ea396b11e6c7,Intermediate,1,40
a601ba75-6313-41d7-824e-f0ec399fd7fe,68d0387b-13d7-4dd6-a2ae-f421594c5992,2023-07-02,ea247725-63d7-426f-8022-e8410ec1f9cc,Advanced,1,50
aed2b2c0-afeb-4973-9309-dbb5631290e6,e5e81f3c-d5ac-4c67-bd2e-e61a507c2c7f,2023-07-02,23234303-b61e-4f2e-8bf9-6d65b4abbb2e,Intermediate,1,40
29c55243-95eb-4d7b-ab6e-e9eb928dfae0,50077465-43cc-4bec-b3b7-a547eba475cb,2023-07-02,c615fa53-2dc9-43a1-88de-0bb613615ada,Advanced,2,100
bea5c941-3f9e-4130-8322-5735492d5770,570d3150-6e97-405a-81cc-2f14e6e76c6c,2023-07-03,8762b268-5aa9-4496-a8ed-a25d9975af89,Intermediate,1,40
e0682190-a917-4739-9b7c-f06ec9f1683a,1baab112-0a5f-4696-a2d7-5f8d676a8c9a,2023-07-03,30ce5b61-251a-4224-b50d-6dbcf04eef9a,Advanced,1,50
eb89e7f6-9e79-41b2-b006-daa3db8a8d01,79a22981-c559-44bc-bd1e-1d7176c7905a,2023-07-03,3c80a7fa-f826-443a-8e7d-74fa3b46268a,Advanced,1,50
8da47b7f-9d98-439c-b647-b7ccea987515,c3c2fb31-ba7b-40c3-a561-acc1a97ab5a9,2023-07-03,c769122e-3df1-419e-9788-aaeb206e2b9e,Beginner,1,30
51864b43-81ac-450c-ac34-504beef57669,68d0387b-13d7-4dd6-a2ae-f421594c5992,2023-07-03,620ab601-40d1-4249-8660-f4e18754c7de,Intermediate,1,40
186cba93-ac84-4ebb-9ecb-994d1e26990e,50077465-43cc-4bec-b3b7-a547eba475cb,2023-07-03,7a17da55-9806-4ac8-9c96-b517d46a01da,Advanced,2,100
a9f5b243-fffa-4a3b-b70d-7e3c77918a64,c326cea9-622f-4590-9330-0710375b036a,2023-07-03,34af35e0-9084-430e-a071-9236a7fe0bd6,Advanced,2,100
637479ce-2bb0-43f1-bd36-219eb9899019,84785ef0-3ea0-4419-b464-4f563498c17c,2023-07-03,41b400d6-ff3b-4053-b76a-d07d43799efb,Intermediate,1,40
a26b91e5-12ee-482c-884d-d2769676e0ad,3c370b7f-fe82-4738-b33f-0e31cb38576f,2023-07-03,79937cc4-80bc-46a0-a944-7a00a9de435c,Intermediate,1,40
ba78f81b-aaac-4687-97fd-b8130859e647,5c129ea7-79f8-421f-86d6-3adf5b8fe1fe,2023-07-04,44436880-c6a4-4012-877f-5a672d1405b4,Advanced,2,100
917a74da-a8b8-4e3f-8c70-f1316744ff95,1d840a78-4f61-4f8f-ac95-5c5e722f4d45,2023-07-04,e4816f43-b87e-4709-a29f-9a79f17e817c,Advanced,2,100
8bf56765-c4f0-4bc4-9b5c-aded10b849c5,80116023-c127-4a3b-812e-21dcefcec342,2023-07-04,8a129543-1a88-4b4c-933a-0c068fb64942,Beginner,1,30
a7831a48-bbb7-4cd6-8948-875ff8d950ea,1a7e2570-be85-4cf5-855a-9db9adf92a07,2023-07-04,65c185bb-b1d0-4184-9a4d-01263782ce44,Advanced,1,50
6ce6289a-42b5-49cf-91be-8d3d7200d1b6,2e49a338-4465-4925-8383-18c8f5312485,2023-07-04,842d5872-4303-4b2f-b564-4c2e8208db20,Intermediate,1,40
bcf69e1f-4e57-4766-bf0b-17d2a1b8de9e,274773f5-f9a8-468b-9f6b-405981ab6d00,2023-07-04,8b0b7489-2db2-4309-87c9-ea396b11e6c7,Intermediate,2,80
5270d784-255a-4907-904f-28a11d616170,5d3a92ea-ebb0-46d7-8f3b-b5df6df99bfc,2023-07-04,3fb1ea8d-efee-4d06-be63-fb411a1ddad9,Intermediate,2,80
